,symbol,lot,type,opentime,closetime,openprice,closeprice,stoploss,takeprofit,status,mount
0,EURUSD_15M,10,1,2017.10.02 09:45:00,2017.10.02 12:45:00,1.17393,1.17583,1.17593,1.17193,1,-1900.0000000000127
1,USDCAD_15M,10,0,2017.10.02 09:45:00,2017.10.02 12:45:00,1.25177,1.24967,1.24967,1.25367,1,-2099.999999999991
2,EURUSD_15M,10,1,2017.10.02 13:00:00,2017.10.02 14:00:00,1.17579,1.17379,1.17779,1.17379,1,2000.0000000000018
3,USDCAD_15M,10,0,2017.10.02 13:00:00,2017.10.02 13:15:00,1.2487700000000002,1.2506700000000002,1.2466700000000002,1.2506700000000002,1,1900.0000000000127
4,USDCAD_15M,10,0,2017.10.02 13:30:00,2017.10.02 14:30:00,1.2507700000000002,1.2486700000000002,1.2486700000000002,1.2526700000000002,1,-2099.999999999991
5,EURUSD_15M,10,1,2017.10.02 14:15:00,2017.10.03 00:45:00,1.17448,1.17248,1.17648,1.17248,1,2000.0000000000018
6,USDCAD_15M,10,0,2017.10.02 14:45:00,2017.10.02 15:15:00,1.2492,1.2511,1.2471,1.2511,1,1900.0000000000127
7,USDCAD_15M,10,0,2017.10.02 15:30:00,2017.10.03 00:45:00,1.25095,1.25285,1.24885,1.25285,1,1900.0000000000127
8,EURUSD_15M,10,1,2017.10.03 01:00:00,2017.10.03 05:15:00,1.17201,1.17001,1.17401,1.17001,1,2000.0000000000018
9,USDCAD_15M,10,0,2017.10.03 01:00:00,2017.10.03 07:15:00,1.25281,1.25071,1.25071,1.25471,1,-2099.999999999991
10,EURUSD_15M,10,1,2017.10.03 05:30:00,2017.10.03 06:30:00,1.16992,1.17182,1.17192,1.16792,1,-1900.0000000000127
11,EURUSD_15M,10,1,2017.10.03 06:45:00,2017.10.03 07:30:00,1.1717799999999998,1.1736799999999998,1.1737799999999998,1.1697799999999998,1,-1900.0000000000127
12,USDCAD_15M,10,0,2017.10.03 07:30:00,2017.10.03 10:45:00,1.25149,1.24939,1.24939,1.25339,1,-2099.999999999991
13,EURUSD_15M,10,1,2017.10.03 07:45:00,2017.10.03 10:45:00,1.17321,1.17511,1.17521,1.17121,1,-1900.0000000000127
14,EURUSD_15M,10,1,2017.10.03 11:00:00,0,1.17564,0,1.17764,1.17364,0,0
15,USDCAD_15M,10,0,2017.10.03 11:00:00,2017.10.03 12:30:00,1.2494399999999999,1.25134,1.24734,1.25134,1,1900.0000000000127
16,USDCAD_15M,10,0,2017.10.03 12:45:00,2017.10.03 13:45:00,1.2522,1.2501,1.2501,1.2541,1,-2099.999999999991
17,USDCAD_15M,10,0,2017.10.03 14:00:00,2017.10.03 16:45:00,1.2507700000000002,1.2486700000000002,1.2486700000000002,1.2526700000000002,1,-2099.999999999991
